Filename,Camera View,Activity Type,Start Time,End Time,Label (Primary),Appearance Block
Dashboard_User_id_85870_5,Dashboard,Distracted Behavior,0:00:08,0:00:12,Class 7,None
,Dashboard,Distracted Behavior,0:00:33,0:00:37,Class 9,None
,Dashboard,Distracted Behavior,0:00:55,0:00:59,Class 1,None
,Dashboard,Distracted Behavior,0:01:22,0:01:25,Class 13,None
,Dashboard,Distracted Behavior,0:02:00,0:02:05,Class 2,None
,Dashboard,Distracted Behavior,0:02:32,0:02:48,Class 11,None
,Dashboard,Distracted Behavior,0:03:08,0:03:34,Class 0,None
,Dashboard,Distracted Behavior,0:03:48,0:03:53,Class 10,None
,Dashboard,Distracted Behavior,0:04:15,0:04:32,Class 4,None
,Dashboard,Distracted Behavior,0:04:47,0:04:50,Class 8,None
,Dashboard,Distracted Behavior,0:05:23,0:05:39,Class 3,None
,Dashboard,Distracted Behavior,0:06:01,0:06:09,Class 5,None
,Dashboard,Distracted Behavior,0:06:23,0:06:44,Class 15,None
,Dashboard,Distracted Behavior,0:06:57,0:07:12,Class 14,None
,Dashboard,Distracted Behavior,0:07:28,0:07:43,Class 12,None
,Dashboard,Distracted Behavior,0:08:05,0:08:13,Class 6,None
Dashboard_User_id_85870_7,Dashboard,Distracted Behavior,0:00:08,0:00:12,Class 7,Hat
,Dashboard,Distracted Behavior,0:00:33,0:00:38,Class 9,Hat
,Dashboard,Distracted Behavior,0:00:56,0:00:59,Class 1,Hat
,Dashboard,Distracted Behavior,0:01:22,0:01:27,Class 13,Hat
,Dashboard,Distracted Behavior,0:01:56,0:02:09,Class 2,Hat
,Dashboard,Distracted Behavior,0:02:32,0:02:48,Class 11,Hat
,Dashboard,Distracted Behavior,0:03:08,0:03:34,Class 0,Hat
,Dashboard,Distracted Behavior,0:03:47,0:03:53,Class 10,Hat
,Dashboard,Distracted Behavior,0:04:14,0:04:32,Class 4,Hat
,Dashboard,Distracted Behavior,0:04:48,0:04:51,Class 8,Hat
,Dashboard,Distracted Behavior,0:05:24,0:05:34,Class 3,Hat
,Dashboard,Distracted Behavior,0:06:00,0:06:10,Class 5,Hat
,Dashboard,Distracted Behavior,0:06:22,0:06:43,Class 15,Hat
,Dashboard,Distracted Behavior,0:06:56,0:07:12,Class 14,Hat
,Dashboard,Distracted Behavior,0:07:28,0:07:43,Class 12,Hat
,Dashboard,Distracted Behavior,0:08:06,0:08:13,Class 6,Hat
Rearview_User_id_85870_5,Rearview,Distracted Behavior,0:00:08,0:00:12,Class 7,None
,Rearview,Distracted Behavior,0:00:33,0:00:37,Class 9,None
,Rearview,Distracted Behavior,0:00:55,0:00:59,Class 1,None
,Rearview,Distracted Behavior,0:01:22,0:01:25,Class 13,None
