Filename,Camera View,Activity Type,Start Time,End Time,Label (Primary),Appearance Block
Dashboard_User_id_86356_5,Dashboard,Distracted Behavior,0:00:09,0:00:13,Class 13,None
,Dashboard,Distracted Behavior,0:00:43,0:00:51,Class 14,None
,Dashboard,Distracted Behavior,0:01:23,0:01:29,Class 7,None
,Dashboard,Distracted Behavior,0:01:46,0:02:11,Class 5,None
,Dashboard,Distracted Behavior,0:02:31,0:02:55,Class 11,None
,Dashboard,Distracted Behavior,0:03:08,0:03:33,Class 6,None
,Dashboard,Distracted Behavior,0:03:45,0:04:00,Class 4,None
,Dashboard,Distracted Behavior,0:04:14,0:04:38,Class 12,None
,Dashboard,Distracted Behavior,0:04:59,0:05:15,Class 3,None
,Dashboard,Distracted Behavior,0:05:32,0:05:50,Class 2,None
,Dashboard,Distracted Behavior,0:06:06,0:06:13,Class 10,None
,Dashboard,Distracted Behavior,0:06:28,0:06:34,Class 8,None
,Dashboard,Distracted Behavior,0:07:32,0:07:39,Class 9,None
,Dashboard,Distracted Behavior,0:07:53,0:08:03,Class 15,None
Dashboard_User_id_86356_7,Dashboard,Distracted Behavior,0:00:09,0:00:15,Class 13,Sunglasses
,Dashboard,Distracted Behavior,0:00:46,0:00:50,Class 14,Sunglasses
,Dashboard,Distracted Behavior,0:01:22,0:01:30,Class 7,Sunglasses
,Dashboard,Distracted Behavior,0:01:55,0:02:08,Class 5,Sunglasses
,Dashboard,Distracted Behavior,0:02:33,0:02:54,Class 11,Sunglasses
,Dashboard,Distracted Behavior,0:03:10,0:03:23,Class 6,Sunglasses
,Dashboard,Distracted Behavior,0:03:45,0:04:10,Class 4,Sunglasses
,Dashboard,Distracted Behavior,0:04:16,0:04:37,Class 12,Sunglasses
,Dashboard,Distracted Behavior,0:05:00,0:05:15,Class 3,Sunglasses
,Dashboard,Distracted Behavior,0:05:33,0:05:51,Class 2,Sunglasses
,Dashboard,Distracted Behavior,0:06:05,0:06:12,Class 10,Sunglasses
,Dashboard,Distracted Behavior,0:06:28,0:06:33,Class 8,Sunglasses
,Dashboard,Distracted Behavior,0:07:32,0:07:37,Class 9,Sunglasses
,Dashboard,Distracted Behavior,0:07:53,0:08:12,Class 15,Sunglasses
,Dashboard,Distracted Behavior,0:08:29,0:08:33,Class 1,Sunglasses
,Dashboard,Distracted Behavior,0:08:38,0:08:42,Class 0,Sunglasses
Rearview_User_id_86356_5,Rearview,Distracted Behavior,0:00:09,0:00:13,Class 13,None
,Rearview,Distracted Behavior,0:00:43,0:00:51,Class 14,None
,Rearview,Distracted Behavior,0:01:23,0:01:29,Class 7,None
,Rearview,Distracted Behavior,0:01:46,0:02:11,Class 5,None
,Rearview,Distracted Behavior,0:02:31,0:02:55,Class 11,None
,Rearview,Distracted Behavior,0:03:08,0:03:33,Class 6,None
,Rearview,Distracted Behavior,0:03:45,0:04:00,Class 4,None
,Rearview,Distracted Behavior,0:04:14,0:04:38,Class 12,None
,Rearview,Distracted Behavior,0:04:59,0:05:15,Class 3,None
,Rearview,Distracted Behavior,0:05:32,0:05:50,Class 2,None
,Rearview,Distracted Behavior,0:06:06,0:06:13,Class 10,None
,Rearview,Distracted Behavior,0:06:28,0:06:34,Class 8,None
,Rearview,Distracted Behavior,0:07:32,0:07:39,Class 9,None
,Rearview,Distracted Behavior,0:07:53,0:08:03,Class 15,None
Rearview_User_id_86356_7,Rearview,Distracted Behavior,0:00:09,0:00:15,Class 13,Sunglasses
,Rearview,Distracted Behavior,0:00:46,0:00:50,Class 14,Sunglasses
,Rearview,Distracted Behavior,0:01:22,0:01:30,Class 7,Sunglasses
,Rearview,Distracted Behavior,0:01:55,0:02:08,Class 5,Sunglasses
,Rearview,Distracted Behavior,0:02:33,0:02:54,Class 11,Sunglasses
,Rearview,Distracted Behavior,0:03:10,0:03:23,Class 6,Sunglasses
,Rearview,Distracted Behavior,0:03:45,0:04:10,Class 4,Sunglasses
,Rearview,Distracted Behavior,0:04:16,0:04:37,Class 12,Sunglasses
,Rearview,Distracted Behavior,0:05:00,0:05:15,Class 3,Sunglasses
,Rearview,Distracted Behavior,0:05:33,0:05:51,Class 2,Sunglasses
,Rearview,Distracted Behavior,0:06:05,0:06:12,Class 10,Sunglasses
,Rearview,Distracted Behavior,0:06:28,0:06:33,Class 8,Sunglasses
,Rearview,Distracted Behavior,0:07:32,0:07:37,Class 9,Sunglasses
,Rearview,Distracted Behavior,0:07:53,0:08:12,Class 15,Sunglasses
,Rearview,Distracted Behavior,0:08:29,0:08:33,Class 1,Sunglasses
,Rearview,Distracted Behavior,0:08:38,0:08:42,Class 0,Sunglasses
Right_side_window_User_id_86356_5,Rightside Window,Distracted Behavior,0:00:09,0:00:13,Class 13,None
,Rightside Window,Distracted Behavior,0:00:43,0:00:51,Class 14,None
,Rightside Window,Distracted Behavior,0:01:23,0:01:29,Class 7,None
,Rightside Window,Distracted Behavior,0:01:46,0:02:11,Class 5,None
,Rightside Window,Distracted Behavior,0:02:31,0:02:55,Class 11,None
,Rightside Window,Distracted Behavior,0:03:08,0:03:33,Class 6,None
,Rightside Window,Distracted Behavior,0:03:45,0:04:00,Class 4,None
,Rightside Window,Distracted Behavior,0:04:14,0:04:38,Class 12,None
,Rightside Window,Distracted Behavior,0:04:59,0:05:15,Class 3,None
,Rightside Window,Distracted Behavior,0:05:32,0:05:50,Class 2,None
,Rightside Window,Distracted Behavior,0:06:06,0:06:13,Class 10,None
,Rightside Window,Distracted Behavior,0:06:28,0:06:34,Class 8,None
,Rightside Window,Distracted Behavior,0:07:32,0:07:39,Class 9,None
,Rightside Window,Distracted Behavior,0:07:53,0:08:03,Class 15,None
Right_side_window_User_id_86356_7,Rightside Window,Distracted Behavior,0:00:09,0:00:15,Class 13,Sunglasses
,Rightside Window,Distracted Behavior,0:00:46,0:00:50,Class 14,Sunglasses
,Rightside Window,Distracted Behavior,0:01:22,0:01:30,Class 7,Sunglasses
,Rightside Window,Distracted Behavior,0:01:55,0:02:08,Class 5,Sunglasses
,Rightside Window,Distracted Behavior,0:02:33,0:02:54,Class 11,Sunglasses
,Rightside Window,Distracted Behavior,0:03:10,0:03:23,Class 6,Sunglasses
,Rightside Window,Distracted Behavior,0:03:45,0:04:10,Class 4,Sunglasses
,Rightside Window,Distracted Behavior,0:04:16,0:04:37,Class 12,Sunglasses
,Rightside Window,Distracted Behavior,0:05:00,0:05:15,Class 3,Sunglasses
,Rightside Window,Distracted Behavior,0:05:33,0:05:51,Class 2,Sunglasses
,Rightside Window,Distracted Behavior,0:06:05,0:06:12,Class 10,Sunglasses
,Rightside Window,Distracted Behavior,0:06:28,0:06:33,Class 8,Sunglasses
,Rightside Window,Distracted Behavior,0:07:32,0:07:37,Class 9,Sunglasses
,Rightside Window,Distracted Behavior,0:07:53,0:08:12,Class 15,Sunglasses
,Rightside Window,Distracted Behavior,0:08:29,0:08:33,Class 1,Sunglasses
,Rightside Window,Distracted Behavior,0:08:38,0:08:42,Class 0,Sunglasses
